trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,True,"{'a': 0, 'e': 0}",20,6,25.77075555935937,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",20,11,16.71999876956382,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",20,13,12.91967996141354,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",25,14,21.839825473557408,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",25,13,24.93994634068065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",25,18,11.777306277728075,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",20,7,21.12084388587634,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",30,12,33.38942119708295,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",20,16,8.216646270378527,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",20,13,16.710847085552512,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,4,26.336198307318128,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",20,7,25.36336416566889,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
